sin,time_a,town,cnt,sintype
fig5,14:50,安南區,585,w_test_2
fig5,16:25,北區,121,w_test_2
fig5,16:55,新市區,177,w_test_2
fig5,14:25,東區,594,w_test_2
fig5,17:00,東區,51,w_test_2
fig5,14:45,永康區,1129,w_test_2
fig5,16:55,東區,69,w_test_2
fig5,17:10,新化區,116,w_test_2
fig5,15:10,東區,514,w_test_2
fig5,17:20,永康區,149,w_test_2
fig5,15:10,新市區,444,w_test_2
fig5,16:40,安南區,143,w_test_2
fig5,15:20,新化區,502,w_test_2
fig5,17:00,新市區,175,w_test_2
fig5,16:05,安南區,307,w_test_2
fig5,14:35,北區,397,w_test_2
fig5,15:20,善化區,323,w_test_2
fig5,14:35,新化區,593,w_test_2
