sin,time_a,county,cnt,sintype
fig4,13:35,屏東縣,201,w_test_2
fig4,16:05,屏東縣,176,w_test_2
fig4,15:45,台南市,5652,w_test_2
fig4,14:40,台中市,420,w_test_2
fig4,15:40,高雄市,1815,w_test_2
fig4,17:20,新北市,20,w_test_2
fig4,14:50,新北市,236,w_test_2
fig4,13:30,台南市,5590,w_test_2
fig4,14:55,台中市,439,w_test_2
fig4,16:15,台南市,2908,w_test_2
fig4,13:45,台南市,6498,w_test_2
fig4,17:10,台中市,38,w_test_2
fig4,17:25,台中市,35,w_test_2
fig4,16:00,台南市,4320,w_test_2
fig4,14:05,屏東縣,281,w_test_2
fig4,15:55,高雄市,1483,w_test_2
fig4,16:30,屏東縣,106,w_test_2
fig4,16:45,屏東縣,47,w_test_2
